name	sex	wikipedia_url	jsp_url	recording_url	birth_date	birth_date_md	best_birth_date	best_birth_year	best_birth_month	best_birth_day	death_date	death_date_md	best_death_date	best_death_year	best_death_month	best_death_day	date	date_md	best_date	best_year	best_month	best_day	tagline	tagline_md	office	outcome	outcome_md	for	alt_for	notes	notes_md	+notes	+notes_md	unit	unit_md	location	location_md	friendly_location	country	adm1	adm2	adm3	adm4	best_location	best_country	best_adm1	best_adm2	best_adm3	best_adm4	sections	tags	birth_place	birth_place_md	rebaptism_date	rebaptism_date_md	baptism_date	baptism_date_md
Fidel Flores	male				12 Jan 1917	12 Jan 1917	12 Jan 1917	1917.0	Jan	12.0							2 May 1945	2 May 1945	2 May 1945	1945	May	2.0			teacher	excommunicated	[excommunicated](https://archive.org/details/improvementera4808unse/page/n45/mode/2up)	violating the law of chastity						Mexican Branch, Juarez Stake	Mexican Branch, Juarez Stake	Colonia Juárez, Casas Grandes, Chihuahua, Mexico	Colonia Juárez, Casas Grandes, Chihuahua, Mexico	Colonia Juárez, Chihuahua, Mexico	Mexico	Chihuahua	Casas Grandes	Colonia Juárez		Colonia Juárez, Casas Grandes, Chihuahua, Mexico	Mexico	Chihuahua	Casas Grandes	Colonia Juárez		['20th Century']	['improvement-era', '1945-aug']						
Marcos Garcia	male				Apr 1906	Apr 1906	Apr 1906	1906.0	Apr								4 May 1945	4 May 1945	4 May 1945	1945	May	4.0			teacher	excommunicated	[excommunicated](https://archive.org/details/improvementera4808unse/page/n45/mode/2up)	violating the law of chastity						Mexican Branch, Juarez Stake	Mexican Branch, Juarez Stake	Colonia Juárez, Casas Grandes, Chihuahua, Mexico	Colonia Juárez, Casas Grandes, Chihuahua, Mexico	Colonia Juárez, Chihuahua, Mexico	Mexico	Chihuahua	Casas Grandes	Colonia Juárez		Colonia Juárez, Casas Grandes, Chihuahua, Mexico	Mexico	Chihuahua	Casas Grandes	Colonia Juárez		['20th Century']	['improvement-era', '1945-aug']						
Lenor Tafoya	female				29 Oct 1908	29 Oct 1908	29 Oct 1908	1908.0	Oct	29.0							4 May 1945	4 May 1945	4 May 1945	1945	May	4.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4808unse/page/n45/mode/2up)	violating the law of chastity						Mexican Branch, Juarez Stake	Mexican Branch, Juarez Stake	Colonia Juárez, Casas Grandes, Chihuahua, Mexico	Colonia Juárez, Casas Grandes, Chihuahua, Mexico	Colonia Juárez, Chihuahua, Mexico	Mexico	Chihuahua	Casas Grandes	Colonia Juárez		Colonia Juárez, Casas Grandes, Chihuahua, Mexico	Mexico	Chihuahua	Casas Grandes	Colonia Juárez		['20th Century']	['improvement-era', '1945-aug']						
Camelle Pope Barco Aston Shippe	female				25 Jan 1904	25 Jan 1904	25 Jan 1904	1904.0	Jan	25.0							11 May 1945	11 May 1945	11 May 1945	1945	May	11.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4808unse/page/n45/mode/2up)	apostasy						Highland Park Ward, Highland Stake	Highland Park Ward, Highland Stake	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1945-aug']						
Orville Cox Day	male				1 Jun 1885	1 Jun 1885	1 Jun 1885	1885.0	Jun	1.0							28 May 1945	28 May 1945	28 May 1945	1945	May	28.0			high priest	excommunicated	[excommunicated](https://archive.org/details/improvementera4808unse/page/n45/mode/2up)	violating the law of chastity						Highland Ward, Alpine Stake	Highland Ward, Alpine Stake	Highland, Utah, Utah, United States	Highland, Utah, Utah, United States	Highland, Utah	United States	Utah	Utah	Highland		Highland, Utah, Utah, United States	United States	Utah	Utah	Highland		['20th Century']	['improvement-era', '1945-aug']						
Joseph Lars Peterson	male				1 Oct 1890	1 Oct 1890	1 Oct 1890	1890.0	Oct	1.0							7 Jun 1945	7 Jun 1945	7 Jun 1945	1945	Jun	7.0			high priest	excommunicated	[excommunicated](https://archive.org/details/improvementera4808unse/page/n45/mode/2up)	apostasy						Garfield East Ward, Oquirrh Stake	Garfield East Ward, Oquirrh Stake	Garfield, Salt Lake, Utah, United States	Garfield, Salt Lake, Utah, United States	Garfield, Utah	United States	Utah	Salt Lake	Garfield		Garfield, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Garfield		['20th Century']	['improvement-era', '1945-aug']						
Carrie Myrtle Miller Smith	female				1 Aug 1879	1 Aug 1879	1 Aug 1879	1879.0	Aug	1.0							11 Jun 1945	11 Jun 1945	11 Jun 1945	1945	Jun	11.0				excommunicated-at-own-request	[excommunicated-at-own-request](https://archive.org/details/improvementera4809unse/page/n53/mode/2up)	apostasy						Dallas Branch, Texas Mission	Dallas Branch, Texas Mission	Dallas, Dallas, Texas, United States	Dallas, Dallas, Texas, United States	Dallas, Texas	United States	Texas	Dallas	Dallas		Dallas, Dallas, Texas, United States	United States	Texas	Dallas	Dallas		['20th Century']	['improvement-era', '1945-sep']						
Bessie Anna Jarvis Cress	female				15 Mar 1916	15 Mar 1916	15 Mar 1916	1916.0	Mar	15.0							15 Jun 1945	15 Jun 1945	15 Jun 1945	1945	Jun	15.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4809unse/page/n53/mode/2up)	apostasy						Montebello Ward, Pasadena Stake	Montebello Ward, Pasadena Stake	Montebello, Los Angeles, California, United States	Montebello, Los Angeles, California, United States	Montebello, California	United States	California	Los Angeles	Montebello		Montebello, Los Angeles, California, United States	United States	California	Los Angeles	Montebello		['20th Century']	['improvement-era', '1945-sep']						
Joseph David Jenkins	male				3 Dec 1910	3 Dec 1910	3 Dec 1910	1910.0	Dec	3.0							15 Jun 1945	15 Jun 1945	15 Jun 1945	1945	Jun	15.0			elder	excommunicated	[excommunicated](https://archive.org/details/improvementera4809unse/page/n53/mode/2up)	violating the law of chastity						South Twentieth Ward, Ensign Stake	South Twentieth Ward, Ensign Stake	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1945-sep']						
Wilhelm Ernest J. Rettmer	male				9 Sep 1900	9 Sep 1900	9 Sep 1900	1900.0	Sep	9.0							28 Jun 1945	28 Jun 1945	28 Jun 1945	1945	Jun	28.0			seventy	excommunicated	[excommunicated](https://archive.org/details/improvementera4809unse/page/n51/mode/2up)	teaching and advocating doctrines contrary to the teachings of the Church, particularly with reference to the trinity of the Godhead						Park Stake	Park Stake	Salt Lake City?, Salt Lake, Utah, United States	Salt Lake City?, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City?		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1945-sep']						
Berta J. F. Grossmuch Rettmer	female																28 Jun 1945	28 Jun 1945	28 Jun 1945	1945	Jun	28.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4809unse/page/n51/mode/2up)	teaching and advocating doctrines contrary to the teachings of the Church, particularly with reference to the trinity of the Godhead						Park Stake	Park Stake	Salt Lake City?, Salt Lake, Utah, United States	Salt Lake City?, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City?		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1945-sep']						
John August Gustafson	male				25 Sep 1885	25 Sep 1885	25 Sep 1885	1885.0	Sep	25.0							1 Jul 1945	1 Jul 1945	1 Jul 1945	1945	Jul	1.0			elder	excommunicated	[excommunicated](https://archive.org/details/improvementera4809unse/page/n53/mode/2up)	violating the law of chastity						Watsonville Branch, Northern California Mission	Watsonville Branch, Northern California Mission	Watsonville, Santa Cruz, California, United States	Watsonville, Santa Cruz, California, United States	Watsonville, California	United States	California	Santa Cruz	Watsonville		Watsonville, Santa Cruz, California, United States	United States	California	Santa Cruz	Watsonville		['20th Century']	['improvement-era', '1945-sep']						
Loy Robinson	male				13 Oct 1902	13 Oct 1902	13 Oct 1902	1902.0	Oct	13.0							3 Jul 1945	3 Jul 1945	3 Jul 1945	1945	Jul	3.0				excommunicated-at-own-request	[excommunicated-at-own-request](https://archive.org/details/improvementera4812unse/page/n41/mode/2up)	apostasy						University Ward, Seattle Stake	University Ward, Seattle Stake	Seattle, King, Washington, United States	Seattle, King, Washington, United States	Seattle, Washington	United States	Washington	King	Seattle		Seattle, King, Washington, United States	United States	Washington	King	Seattle		['20th Century']	['improvement-era', '1945-dec']						
Fred Leffingwell Beebe	male				26 Dec 1872	26 Dec 1872	26 Dec 1872	1872.0	Dec	26.0							5 Jul 1945	5 Jul 1945	5 Jul 1945	1945	Jul	5.0			teacher	excommunicated	[excommunicated](https://archive.org/details/improvementera4812unse/page/n41/mode/2up)	apostasy						St. Augustine Branch, Southern States Mission	St. Augustine Branch, Southern States Mission	St. Augustine, St. Johns, Florida, United States	[St. Augustine, St. Johns, Florida, United States](https://books.google.com/books?id=f2jUAAAAMAAJ&pg=PA29&lpg=PA29&dq=%22st.+augustine%22+%22southern+states+mission%22&source=bl&ots=yp2yKQaY92&sig=ACfU3U3KUNuJJuanSYygMph6WneYb0vvNQ&hl=en&sa=X&ved=2ahUKEwiHh_vCp9jnAhUGip4KHQ6gDasQ6AEwAXoECAoQAQ#v=onepage&q=%22st.%20augustine%22%20%22southern%20states%20mission%22&f=false)	St. Augustine, Florida	United States	Florida	St. Johns	St. Augustine		St. Augustine, St. Johns, Florida, United States	United States	Florida	St. Johns	St. Augustine		['20th Century']	['improvement-era', '1945-dec']						
Rubie Strong Hooker	female				14 Jan 1884	14 Jan 1884	14 Jan 1884	1884.0	Jan	14.0							5 Jul 1945	5 Jul 1945	5 Jul 1945	1945	Jul	5.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4812unse/page/n41/mode/2up)	apostasy						St. Augustine Branch, Southern States Mission	St. Augustine Branch, Southern States Mission	St. Augustine, St. Johns, Florida, United States	[St. Augustine, St. Johns, Florida, United States](https://books.google.com/books?id=f2jUAAAAMAAJ&pg=PA29&lpg=PA29&dq=%22st.+augustine%22+%22southern+states+mission%22&source=bl&ots=yp2yKQaY92&sig=ACfU3U3KUNuJJuanSYygMph6WneYb0vvNQ&hl=en&sa=X&ved=2ahUKEwiHh_vCp9jnAhUGip4KHQ6gDasQ6AEwAXoECAoQAQ#v=onepage&q=%22st.%20augustine%22%20%22southern%20states%20mission%22&f=false)	St. Augustine, Florida	United States	Florida	St. Johns	St. Augustine		St. Augustine, St. Johns, Florida, United States	United States	Florida	St. Johns	St. Augustine		['20th Century']	['improvement-era', '1945-dec']						
Cecil Solano	male				28 Jul 1909	28 Jul 1909	28 Jul 1909	1909.0	Jul	28.0							5 Jul 1945	5 Jul 1945	5 Jul 1945	1945	Jul	5.0			priest	excommunicated	[excommunicated](https://archive.org/details/improvementera4812unse/page/n41/mode/2up)	apostasy						St. Augustine Branch, Southern States Mission	St. Augustine Branch, Southern States Mission	St. Augustine, St. Johns, Florida, United States	[St. Augustine, St. Johns, Florida, United States](https://books.google.com/books?id=f2jUAAAAMAAJ&pg=PA29&lpg=PA29&dq=%22st.+augustine%22+%22southern+states+mission%22&source=bl&ots=yp2yKQaY92&sig=ACfU3U3KUNuJJuanSYygMph6WneYb0vvNQ&hl=en&sa=X&ved=2ahUKEwiHh_vCp9jnAhUGip4KHQ6gDasQ6AEwAXoECAoQAQ#v=onepage&q=%22st.%20augustine%22%20%22southern%20states%20mission%22&f=false)	St. Augustine, Florida	United States	Florida	St. Johns	St. Augustine		St. Augustine, St. Johns, Florida, United States	United States	Florida	St. Johns	St. Augustine		['20th Century']	['improvement-era', '1945-dec']						
Lily Fink	female				2 Feb 1923	2 Feb 1923	2 Feb 1923	1923.0	Feb	2.0							11 Jul 1945	11 Jul 1945	11 Jul 1945	1945	Jul	11.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4810unse/page/n55/mode/2up)	['apostasy', 'joining the so-called Order of Aaron']						Southgate Ward, South Salt Lake Stake	Southgate Ward, South Salt Lake Stake	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Utah	United States	Utah	Salt Lake	South Salt Lake		South Salt Lake, Salt Lake, Utah, United States	United States	Utah	Salt Lake	South Salt Lake		['20th Century']	['improvement-era', '1945-oct']						
Mary Fink	female				4 Feb 1921	4 Feb 1921	4 Feb 1921	1921.0	Feb	4.0							11 Jul 1945	11 Jul 1945	11 Jul 1945	1945	Jul	11.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4810unse/page/n55/mode/2up)	['apostasy', 'joining the so-called Order of Aaron']						Southgate Ward, South Salt Lake Stake	Southgate Ward, South Salt Lake Stake	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Utah	United States	Utah	Salt Lake	South Salt Lake		South Salt Lake, Salt Lake, Utah, United States	United States	Utah	Salt Lake	South Salt Lake		['20th Century']	['improvement-era', '1945-oct']						
Mary Bangerter Fink	female				20 Sep 1888	20 Sep 1888	20 Sep 1888	1888.0	Sep	20.0							11 Jul 1945	11 Jul 1945	11 Jul 1945	1945	Jul	11.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4810unse/page/n55/mode/2up)	['apostasy', 'joining the so-called Order of Aaron']						Southgate Ward, South Salt Lake Stake	Southgate Ward, South Salt Lake Stake	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Utah	United States	Utah	Salt Lake	South Salt Lake		South Salt Lake, Salt Lake, Utah, United States	United States	Utah	Salt Lake	South Salt Lake		['20th Century']	['improvement-era', '1945-oct']						
Claude F. Weight	male				3 Mar 1879	3 Mar 1879	3 Mar 1879	1879.0	Mar	3.0							17 Jul 1945	17 Jul 1945	17 Jul 1945	1945	Jul	17.0			high priest	excommunicated	[excommunicated](https://archive.org/details/improvementera4810unse/page/n55/mode/2up)	joining the so-called Order of Aaron						Provo First Ward, Provo Stake	Provo First Ward, Provo Stake	Provo, Utah, Utah, United States	Provo, Utah, Utah, United States	Provo, Utah	United States	Utah	Utah	Provo		Provo, Utah, Utah, United States	United States	Utah	Utah	Provo		['20th Century']	['improvement-era', '1945-oct']						
Ruth Elaine Von Atta	female				31 Mar 1926	31 Mar 1926	31 Mar 1926	1926.0	Mar	31.0							18 Jul 1945	18 Jul 1945	18 Jul 1945	1945	Jul	18.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4810unse/page/n55/mode/2up)	apostasy						San Jose Ward, San Francisco Stake	San Jose Ward, San Francisco Stake	San Jose, Santa Clara, California, United States	San Jose, Santa Clara, California, United States	San Jose, California	United States	California	Santa Clara	San Jose		San Jose, Santa Clara, California, United States	United States	California	Santa Clara	San Jose		['20th Century']	['improvement-era', '1945-oct']						
Karl R. Dehaas	male				11 Sep 1895	11 Sep 1895	11 Sep 1895	1895.0	Sep	11.0							19 Jul 1945	19 Jul 1945	19 Jul 1945	1945	Jul	19.0			elder	excommunicated	[excommunicated](https://archive.org/details/improvementera4810unse/page/n55/mode/2up)	apostasy						East Pennsylvania District, Eastern States Mission	East Pennsylvania District, Eastern States Mission	?, ?, Pennsylvania?, United States	?, ?, Pennsylvania?, United States	Pennsylvania	United States	Pennsylvania?	?	?		, , Pennsylvania, United States	United States	Pennsylvania				['20th Century']	['improvement-era', '1945-oct']						
John Lewis Herron	male				11 Mar 1880	11 Mar 1880	11 Mar 1880	1880.0	Mar	11.0							29 Jul 1945	29 Jul 1945	29 Jul 1945	1945	Jul	29.0			priest	excommunicated	[excommunicated](https://archive.org/details/improvementera4809unse/page/n53/mode/2up)	apostasy						Magna Ward, Oquirrh Stake	Magna Ward, Oquirrh Stake	Magna, Salt Lake, Utah, United States	Magna, Salt Lake, Utah, United States	Magna, Utah	United States	Utah	Salt Lake	Magna		Magna, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Magna		['20th Century']	['improvement-era', '1945-sep']						
Viola Stone Card	female																8 Aug 1945	8 Aug 1945	8 Aug 1945	1945	Aug	8.0				excommunicated	excommunicated	affiliation with the 'Aaronic Order'		"Excommunicated for being ""[a]ffiliated with [the] 'Aaronic Order'""."	"[Excommunicated for being ""[a]ffiliated with [the] 'Aaronic Order'""](https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=5669&context=etd)."			Eldredge Ward, South Salt Lake Stake	Eldredge Ward, South Salt Lake Stake	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Utah	United States	Utah	Salt Lake	South Salt Lake		South Salt Lake, Salt Lake, Utah, United States	United States	Utah	Salt Lake	South Salt Lake		['20th Century']	['order-of-aaron-thesis']						
Murtle Maus Andrew	female																8 Aug 1945	8 Aug 1945	8 Aug 1945	1945	Aug	8.0				excommunicated	excommunicated	affiliation with the 'Aaronic Order'		"Excommunicated for being ""[a]ffiliated with [the] 'Aaronic Order'""."	"[Excommunicated for being ""[a]ffiliated with [the] 'Aaronic Order'""](https://scholarsarchive.byu.edu/cgi/viewcontent.cgi?article=5669&context=etd)."			Eldredge Ward, South Salt Lake Stake	Eldredge Ward, South Salt Lake Stake	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Utah	United States	Utah	Salt Lake	South Salt Lake		South Salt Lake, Salt Lake, Utah, United States	United States	Utah	Salt Lake	South Salt Lake		['20th Century']	['order-of-aaron-thesis']						
Myrtle E. Mauss Andrew	female				9 Nov 1894	9 Nov 1894	9 Nov 1894	1894.0	Nov	9.0							8 Aug 1945	8 Aug 1945	8 Aug 1945	1945	Aug	8.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4810unse/page/n55/mode/2up)	joining the so-called Order of Aaron						Eldredge Ward, South Salt Lake Stake	Eldredge Ward, South Salt Lake Stake	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Utah	United States	Utah	Salt Lake	South Salt Lake		South Salt Lake, Salt Lake, Utah, United States	United States	Utah	Salt Lake	South Salt Lake		['20th Century']	['improvement-era', '1945-oct']						
Gladys Estelle Bryant	female				11 Dec 1890	11 Dec 1890	11 Dec 1890	1890.0	Dec	11.0							8 Aug 1945	8 Aug 1945	8 Aug 1945	1945	Aug	8.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4810unse/page/n55/mode/2up)	apostasy						Liberty Mississippi Branch, Southern States Mission	Liberty Mississippi Branch, Southern States Mission	Liberty, Amite, Mississippi, United States	Liberty, Amite, Mississippi, United States	Liberty, Mississippi	United States	Mississippi	Amite	Liberty		Liberty, Amite, Mississippi, United States	United States	Mississippi	Amite	Liberty		['20th Century']	['improvement-era', '1945-oct']						
Viola L. Stone Card	female				5 Feb 1899	5 Feb 1899	5 Feb 1899	1899.0	Feb	5.0							8 Aug 1945	8 Aug 1945	8 Aug 1945	1945	Aug	8.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4810unse/page/n55/mode/2up)	joining the so-called Order of Aaron						Eldredge Ward, South Salt Lake Stake	Eldredge Ward, South Salt Lake Stake	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Salt Lake, Utah, United States	South Salt Lake, Utah	United States	Utah	Salt Lake	South Salt Lake		South Salt Lake, Salt Lake, Utah, United States	United States	Utah	Salt Lake	South Salt Lake		['20th Century']	['improvement-era', '1945-oct']						
Ernest Hollings	male				3 Dec 1882	3 Dec 1882	3 Dec 1882	1882.0	Dec	3.0							9 Aug 1945	9 Aug 1945	9 Aug 1945	1945	Aug	9.0			seventy	excommunicated	[excommunicated](https://archive.org/details/improvementera4810unse/page/n55/mode/2up)	joining the so-called Order of Aaron						Twenty-first Ward, Emigration Stake	Twenty-first Ward, Emigration Stake	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1945-oct']						
Gwenevere W. Cowley	female				20 Jan 1914	20 Jan 1914	20 Jan 1914	1914.0	Jan	20.0							14 Aug 1945	14 Aug 1945	14 Aug 1945	1945	Aug	14.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4812unse/page/n41/mode/2up)	practicing plural marriage contrary to Church rule and regulation						Laurelcrest Ward, Sugar House Stake	Laurelcrest Ward, Sugar House Stake	Salt Lake City?, Salt Lake, Utah, United States	Salt Lake City?, Salt Lake, Utah, United States	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City?		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1945-dec']						
Dorothy Elizabeth Benson	female				26 Nov 1924	26 Nov 1924	26 Nov 1924	1924.0	Nov	26.0							22 Aug 1945	22 Aug 1945	22 Aug 1945	1945	Aug	22.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4812unse/page/n41/mode/2up)	apostasy						Southern States Mission	Southern States Mission	United States?	United States?	United States	United States?					United States	United States					['20th Century']	['improvement-era', '1945-dec']						
Robert Byron Crandall	male				1 Feb 1903	1 Feb 1903	1 Feb 1903	1903.0	Feb	1.0							14 Sep 1945	14 Sep 1945	14 Sep 1945	1945	Sep	14.0			priest	excommunicated	[excommunicated](https://archive.org/details/improvementera4812unse/page/n41/mode/2up)	apostasy						Provo First Ward, Provo Stake	Provo First Ward, Provo Stake	Provo, Utah, Utah, United States	Provo, Utah, Utah, United States	Provo, Utah	United States	Utah	Utah	Provo		Provo, Utah, Utah, United States	United States	Utah	Utah	Provo		['20th Century']	['improvement-era', '1945-dec']						
Ivan Earl Richards	male				3 Apr 1908	3 Apr 1908	3 Apr 1908	1908.0	Apr	3.0							3 Oct 1945	3 Oct 1945	3 Oct 1945	1945	Oct	3.0			elder	excommunicated	[excommunicated](https://archive.org/details/improvementera4812unse/page/n41/mode/2up)	"joining the so-called ""Order of Aaron"""						Thirtieth Ward, Pioneer Stake	Thirtieth Ward, Pioneer Stake	Salt Lake City, Salt Lake, Utah, United States	[Salt Lake City, Salt Lake, Utah, United States](https://www.familysearch.org/wiki/en/Wards_and_Branches_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Pioneer_Stake,_Utah#Salt_Lake_City_30th_Ward)	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1945-dec']						
Evelyn Bernice Shurtliff Richards	female				18 Oct 1910	18 Oct 1910	18 Oct 1910	1910.0	Oct	18.0							3 Oct 1945	3 Oct 1945	3 Oct 1945	1945	Oct	3.0				excommunicated	[excommunicated](https://archive.org/details/improvementera4812unse/page/n41/mode/2up)	"joining the so-called ""Order of Aaron"""						Thirtieth Ward, Pioneer Stake	Thirtieth Ward, Pioneer Stake	Salt Lake City, Salt Lake, Utah, United States	[Salt Lake City, Salt Lake, Utah, United States](https://www.familysearch.org/wiki/en/Wards_and_Branches_of_The_Church_of_Jesus_Christ_of_Latter-day_Saints_in_Pioneer_Stake,_Utah#Salt_Lake_City_30th_Ward)	Salt Lake City, Utah	United States	Utah	Salt Lake	Salt Lake City		Salt Lake City, Salt Lake, Utah, United States	United States	Utah	Salt Lake	Salt Lake City		['20th Century']	['improvement-era', '1945-dec']						
Alfred Bangerter	male				16 Oct 1889	16 Oct 1889	16 Oct 1889	1889.0	Oct	16.0							13 Oct 1945	13 Oct 1945	13 Oct 1945	1945	Oct	13.0			seventy	excommunicated	[excommunicated](https://archive.org/details/improvementera4812unse/page/n41/mode/2up)	"['apostasy', 'joining the so-called ""Order of Aaron""']"						Bountiful First Ward, South Davis Stake	Bountiful First Ward, South Davis Stake	Bountiful, Davis, Utah, United States	Bountiful, Davis, Utah, United States	Bountiful, Utah	United States	Utah	Davis	Bountiful		Bountiful, Davis, Utah, United States	United States	Utah	Davis	Bountiful		['20th Century']	['improvement-era', '1945-dec']						
Fawn M. Brodie	female	https://en.wikipedia.org/wiki/Fawn_M._Brodie			1915	1915	1915	1915.0			1981	1981	1981	1981.0			19 Jun 1946	19 Jun 1946	19 Jun 1946	1946	Jun	19.0	Psychobiographer, professor of history, David O. McKay niece	Psychobiographer, professor of history, David O. McKay niece		excommunicated	excommunicated			"Excommunicated for publishing _No Man Knows My History_, a biography of Joseph Smith in which she was said to have ""assert[ed] matters as truths which deny the divine origin of the Book of Mormon, the restoration of the Priesthood and of Christ's Church through the instrumentality of the Prophet Joseph Smith, contrary to the beliefs, doctrines and teachings of the Church."" She later stated that she was ""convinced before [she] ever began writing [ _No Man Knows My History_ ] that Joseph Smith was not a true Prophet."" Brodie's biography of Joseph Smith stands alongside Bushman's _Joseph Smith: Rough Stone Rolling_ as a preeminent account of Joseph Smith's life. She went on to write numerous biographies including the prescient _Thomas Jefferson: An Intimate History_ which was the first major work to argue that Thomas Jefferson had a sexual relationship with his slave, Sally Hemings."	"[Excommunicated for publishing _No Man Knows My History_](https://web.archive.org/web/20190207184806/http://www.salamandersociety.com/x-files/460523brodie_excom.pdf), a biography of Joseph Smith in which she was said to have ""assert\[ed\] matters as truths which deny the divine origin of the Book of Mormon, the restoration of the Priesthood and of Christ's Church through the instrumentality of the Prophet Joseph Smith, contrary to the beliefs, doctrines and teachings of the Church."" She [later stated](https://web.archive.org/web/20191110061253/https://www.dialoguejournal.com/wp-content/uploads/sbi/articles/Dialogue_V22N02_81.pdf) that she was ""convinced before \[she\] ever began writing \[_No Man Knows My History_\] that Joseph Smith was not a true Prophet."" Brodie's biography of Joseph Smith stands alongside Bushman's _Joseph Smith: Rough Stone Rolling_ as a preeminent account of Joseph Smith's life. She went on to write numerous biographies including the prescient _Thomas Jefferson: An Intimate History_ which was the first major work to argue that Thomas Jefferson had a sexual relationship with his slave, Sally Hemings."			New England Mission	New England Mission	Westville, New Haven, New Haven, Connecticut, United States	Westville, New Haven, New Haven, Connecticut, United States	Westville, New Haven, Connecticut	United States	Connecticut	New Haven	New Haven	Westville	Westville, New Haven, New Haven, Connecticut, United States	United States	Connecticut	New Haven	New Haven	Westville	['20th Century']							
John Horne Blackmore	male	https://en.wikipedia.org/wiki/John_Horne_Blackmore			1890	1890	1890	1890.0			1971	1971	1971	1971.0			1947	1947	1947	1947			Non-polygamous polygamy advocate, educator, Canadian legislator	Non-polygamous polygamy advocate, educator, Canadian legislator		excommunicated	excommunicated	teaching and advocating the doctrine of plural marriage		"Excommunicated for ""teaching and advocating the doctrine of plural marriage"". He used his position in the Canadian House of Commons to advocate for the legalization of polygamy, though he did not practice it himself."	"Excommunicated for ""teaching and advocating the doctrine of plural marriage"". He used his position in the Canadian House of Commons to advocate for the legalization of polygamy, though he did not practice it himself."					Canada	Canada	Canada	Canada					Canada	Canada					['20th Century']							
Sally Franchow	female																1952?	1952?	1952	1952			Defender of Annalee Skarin	Defender of Annalee Skarin		excommunicated	excommunicated			Excommunicated (according to Annalee Skarin) for defending Annalee in her own excommunication trial.	[Excommunicated (according to Annalee Skarin) for defending Annalee in her own excommunication trial](https://www.sunstonemagazine.com/pdf/081-42-46.pdf).					Utah, United States	Utah, United States	Utah	United States	Utah				Utah, United States	United States	Utah				['20th Century']							
